v0,seed,T_evac,J,J_over_v0,N_exited,N_injured,N_stuck,cleared,wall_s
1.2,12,150.629,1.327765569711012,1.1064713080925102,200,0,0,1,3.65
1.2,13,150.479,1.329089108779298,1.1075742573160816,200,0,0,1,3.63
1.2,14,148.905,1.3431382425036096,1.119281868753008,200,0,0,1,3.59
1.2,17,150.976,1.32471386180585,1.1039282181715417,200,0,0,1,3.51
1.5,0,125.759,1.5903434346647158,1.060228956443144,200,0,0,1,3.35
1.2,18,159.223,1.2560999353108533,1.0467499460923777,200,0,0,1,3.54
1.2,15,149.04,1.3419216317767042,1.1182680264805869,200,0,0,1,3.6
1.2,19,148.924,1.342966882436679,1.1191390686972325,200,0,0,1,3.54
1.2,16,171.99,1.1628583057154485,0.9690485880962071,200,0,0,1,3.77
1.5,2,136.879,1.4611445144982065,0.9740963429988043,200,0,0,1,3.68
1.5,1,137.882,1.4505156583165315,0.9670104388776877,200,0,0,1,3.91
1.5,3,141.702,1.411412682954369,0.940941788636246,200,0,0,1,4.18
1.5,4,126.267,1.5839451321406226,1.0559634214270817,200,0,0,1,3.52
1.5,5,131.578,1.5200109440787974,1.0133406293858649,200,0,0,1,3.51
1.5,6,132.222,1.512607584214427,1.0084050561429514,200,0,0,1,3.67
1.5,7,133.757,1.4952488467893268,0.9968325645262178,200,0,0,1,3.7
1.5,8,127.309,1.5709808418886333,1.0473205612590888,200,0,0,1,3.54
1.5,10,124.276,1.6093211883227656,1.072880792215177,200,0,0,1,3.35
1.5,12,122.976,1.6263335935467083,1.0842223956978054,200,0,0,1,3.39
1.5,9,125.612,1.5922045664426967,1.0614697109617979,200,0,0,1,3.47
1.5,11,127.448,1.5692674659468961,1.046178310631264,200,0,0,1,3.5
1.5,14,128.21,1.5599407222525543,1.039960481501703,200,0,0,1,3.64
1.5,16,130.869,1.5282458030549633,1.0188305353699756,200,0,0,1,3.55
1.5,15,136.355,1.4667595614388913,0.9778397076259275,200,0,0,1,3.74
1.5,17,123.013,1.625844422947168,1.0838962819647786,200,0,0,1,3.42
1.5,18,125.487,1.5937905918541364,1.0625270612360909,200,0,0,1,3.32
1.5,13,140.368,1.4248261712071129,0.9498841141380753,200,0,0,1,3.97
1.5,19,132.16,1.513317191283293,1.0088781275221954,200,0,0,1,3.62
2.0,0,110.445,1.8108560822128663,0.9054280411064332,200,0,0,1,3.59
2.0,1,121.902,1.6406621712523175,0.8203310856261588,200,0,0,1,3.88
2.0,2,122.672,1.63036389722186,0.81518194861093,200,0,0,1,3.96
2.0,3,126.872,1.5763919540954663,0.7881959770477331,200,0,0,1,4.03
2.0,4,121.423,1.6471343979311992,0.8235671989655996,200,0,0,1,3.77
2.0,6,121.764,1.642521599159029,0.8212607995795145,200,0,0,1,3.68
2.0,9,116.015,1.7239150109899581,0.8619575054949791,200,0,0,1,3.77
2.0,10,122.148,1.6373579591970397,0.8186789795985199,200,0,0,1,3.79
2.0,7,130.472,1.532895947023116,0.766447973511558,200,0,0,1,4.34
2.0,5,129.455,1.544938395581476,0.772469197790738,200,0,0,1,4.43
2.0,11,129.057,1.5497028444795713,0.7748514222397856,200,0,0,1,3.98
2.0,12,129.13,1.5488267637264772,0.7744133818632386,200,0,0,1,4.03
2.0,8,131.298,1.5232524486283112,0.7616262243141556,200,0,0,1,4.46
2.0,14,123.79,1.6156393892883107,0.8078196946441554,200,0,0,1,3.98
2.0,13,123.889,1.6143483279387194,0.8071741639693597,200,0,0,1,4.11
2.0,16,127.289,1.5712276787467887,0.7856138393733944,200,0,0,1,4.07
2.0,17,127.776,1.5652391685449538,0.7826195842724769,200,0,0,1,3.75
2.0,15,131.988,1.515289268721399,0.7576446343606995,200,0,0,1,4.35
2.0,18,118.219,1.6917754337289268,0.8458877168644634,200,0,0,1,3.88
2.0,19,121.612,1.6445745485642864,0.8222872742821432,200,0,0,1,3.83
2.5,0,120.204,1.6638381418255632,0.6655352567302253,200,0,0,1,3.99
2.5,6,113.64,1.7599436818021823,0.703977472720873,200,0,0,1,4.0
2.5,1,128.062,1.5617435304774248,0.6246974121909699,200,0,0,1,4.82
2.5,4,129.711,1.5418892769310235,0.6167557107724094,200,0,0,1,4.28
2.5,2,135.965,1.4709667929246497,0.5883867171698599,200,0,0,1,4.66
2.5,3,129.79,1.5409507666230065,0.6163803066492026,200,0,0,1,4.56
2.5,5,126.424,1.5819781054230209,0.6327912421692083,200,0,0,1,4.38
2.5,10,121.097,1.6515685772562492,0.6606274309024996,200,0,0,1,4.29
2.5,9,129.967,1.5388521701662727,0.6155408680665091,200,0,0,1,4.65
2.5,7,131.965,1.515553366422915,0.606221346569166,200,0,0,1,4.81
2.5,8,135.206,1.4792242947798175,0.591689717911927,200,0,0,1,4.83
2.5,11,123.422,1.6204566446824715,0.6481826578729886,200,0,0,1,4.34
2.5,14,116.475,1.7171066752522002,0.6868426701008801,200,0,0,1,4.13
2.5,12,132.935,1.5044946778500772,0.6017978711400309,200,0,0,1,4.78
2.5,15,125.348,1.5955579666209274,0.638223186648371,200,0,0,1,4.42
2.5,13,135.588,1.475056789686403,0.5900227158745612,200,0,0,1,5.14
2.5,16,129.002,1.5503635602548798,0.620145424101952,200,0,0,1,4.63
2.5,17,123.091,1.624814161880235,0.649925664752094,200,0,0,1,4.01
2.5,18,135.108,1.4802972436865323,0.5921188974746129,200,0,0,1,4.42
2.5,19,130.095,1.5373380990814405,0.6149352396325762,200,0,0,1,4.54
3.0,0,124.336,1.608544588856003,0.5361815296186677,200,0,0,1,4.76
3.0,3,134.368,1.4884496308644917,0.49614987695483054,200,0,0,1,5.02
3.0,2,143.518,1.3935534218704273,0.4645178072901424,200,0,0,1,5.3
3.0,4,136.204,1.4683856568089042,0.48946188560296805,200,0,0,1,5.03
3.0,1,148.819,1.3439144195297645,0.4479714731765882,200,0,0,1,5.9
3.0,6,140.478,1.423710474237959,0.4745701580793196,200,0,0,1,5.26
3.0,7,137.524,1.4542916145545504,0.48476387151818345,200,0,0,1,5.2
3.0,5,146.721,1.3631313854185836,0.4543771284728612,200,0,0,1,5.84
3.0,8,140.866,1.4197890193517242,0.47326300645057473,200,0,0,1,5.37
3.0,10,135.964,1.4709776117207496,0.4903258705735832,200,0,0,1,5.07
3.0,11,139.219,1.4365855235276794,0.47886184117589314,200,0,0,1,5.23
3.0,9,146.293,1.3671194110449576,0.4557064703483192,200,0,0,1,5.8
3.0,12,132.881,1.5051060723504488,0.5017020241168163,200,0,0,1,4.82
3.0,13,125.36,1.595405232929164,0.5318017443097213,200,0,0,1,4.73
3.0,15,134.895,1.4826346417584046,0.49421154725280153,200,0,0,1,5.2
3.0,14,141.93,1.4091453533431972,0.4697151177810657,200,0,0,1,5.6
3.0,18,128.241,1.55956363409518,0.5198545446983933,200,0,0,1,4.57
3.0,17,138.736,1.4415868988582632,0.4805289662860877,200,0,0,1,5.02
3.0,16,146.63,1.3639773579758576,0.45465911932528585,200,0,0,1,5.52
3.5,0,123.607,1.6180313412670804,0.46229466893345156,200,0,0,1,4.8
3.5,1,128.656,1.5545330182813082,0.4441522909375166,200,0,0,1,4.9
3.0,19,148.687,1.3451075077175543,0.44836916923918474,200,0,0,1,5.78
3.5,2,146.255,1.3674746162524358,0.3907070332149817,200,0,0,1,5.56
3.5,4,135.304,1.47815290013599,0.42232940003885433,200,0,0,1,5.12
3.5,3,145.579,1.3738245213938822,0.3925212918268235,200,0,0,1,5.49
3.5,7,138.844,1.440465558468497,0.4115615881338563,200,0,0,1,5.45
3.5,5,152.461,1.3118108893421923,0.3748031112406264,200,0,0,1,6.06
3.5,6,151.038,1.3241700764046134,0.37833430754417524,200,0,0,1,5.95
3.5,9,141.223,1.4161999107794054,0.404628545936973,200,0,0,1,5.39
3.5,8,154.927,1.2909305672994378,0.3688373049426965,200,0,0,1,6.22
3.5,11,150.548,1.3284799532375056,0.3795657009250016,200,0,0,1,5.73
3.5,12,152.094,1.3149762646784227,0.37570750419383503,200,0,0,1,5.88
3.5,13,144.647,1.382676446798067,0.39505041337087626,200,0,0,1,5.62
3.5,14,146.602,1.3642378685147543,0.38978224814707263,200,0,0,1,5.9
3.5,10,164.17,1.218249375647195,0.34807125018491286,200,0,0,1,6.57
3.5,15,139.40804020100504,1.4274642962706634,0.4078469417916181,199,1,0,0,5.69
